name, age, gender, email, password, city, bench, deadlift, squat
"John Doe", 27, "Male", "johndoe@gmail.com", "password1234", "Riverside", 150, 200, 300
"Jane Doe", 22, "Female", "janedoe@gmail.com", "orange12", "Riverside", 100, 125, 150
"Ernesto Bradley", 23, "Male", "FirstAway@hotmail.com", "9968clockphrase49182son", "Toledo", 218, 234, 537
"Joseph Ferguson", 40, "Male", "uniquest@yahoo.com", "659878feed15clearletter33", "Lakewood", 281, 113, 510
"Willie Hansen", 33, "Male", "whan678@ucr.edu", "distant1561258845shinedoes", "Erie", 122, 244, 36
"Gordon Obrien", 24, "Male", "powerdaily@gmail.com", "769348quiet51wide73field", "Toledo", 37, 414, 505
"Rosemarie Graves", 31, "Female", "rose@rgraves.net", "fat7483344tinylike36", "Erie", 165, 237, 33
"Dominick Curry", 36, "Male", "misserve@verizon.net", "49196double17hunt87decimal", "Lakewood", 194, 284, 404
"Robin Reeves", 35, "Male", "rovinreeves@gmail.com", "70twoworldpose14513856", "Middletown", 36, 36, 535
"Francis Weber", 20, "Male", "youtubefamous@github.com", "813436drive3910elementhuge", "Manassas", 150, 92, 374
"Deanna Rose", 18, "Female", "pizzalover@pizza.com", "0history738255regionpopulate65", "Toledo", 262, 420, 248
"Ella Barber", 33, "Female", "barbershop@rocketmail.com", "picture201576fruitwrote9670", "Minnetonka", 273, 209, 91
"Shari Mckinney", 40, "Female", "kinney2@gmail.com", "thankteam4452age798196", "Lakewood", 172, 340, 260
"Stanley Beck", 35, "Male", "stanleybeck@yahoo.com", "31169signalsostar509", "Toledo", 117, 41, 60
"Chad Newton", 24, "Male", "chad@chad.xyz", "14389795himwhichnumeral79", "Dover", 235, 121, 300
"Miriam Harrison", 27, "Male", "miriharr@mail.me", "reason311116warm4most65", "Dover", 246, 337, 351
"Marvin Morris", 28, "Male", "marvinthealien@bopis.org", "instantproperty135crowd731674", "Baltimore", 243, 175, 324
"Gladys Leonard", 28, "Female", "ilikeportal2@valve.net", "78arrangecolorselect5507196", "Manassas", 57, 445, 514
"Kelvin Mathis", 18, "Male", "celsiusisbetter@gmail.com", "who81butstep42172964", "Erie", 208, 143, 89
"Lester Crawford", 19, "Male", "crawfishiscool@minecraft.net", "2026help9970fly85space", "Vacaville", 173, 289, 352
"Faith Love", 25, "Female", "whatismyname@gif.net", "expect7amsegment6376785", "Middletown", 274, 164, 321
"Darnell Peters", 29, "Male", "dpeters222@ucr.edu", "forcewifesince502069862", "Vacaville", 276, 408, 279
"Danny Wolfe", 33, "Male", "wolfeslayer@gmail.com", "whileboughtseveral7976915", "Spokane Valley", 176, 439, 339
"Albert Bates", 40, "Male", "albertbates@apple.com", "million29knewbegan94444745", "Middletown", 165, 428, 427
"Everett Barrett", 45, "Male", "ebarr332@ucr.edu", "7572musicdry17gone7495", "Baltimore", 182, 221, 370
"Terence White", 18, "Male", "blueismyfavorite@hotmail.com", "59why3689went27east36", "San Diego", 86, 439, 183
"Brenda Simpson", 24, "Female", "brendasimpson@gmail.com", "2740letway3113past79", "Middletown", 222, 234, 290
